Serial Number,SDS101P2150051
Software Version,5.01.02.30
-0.05304,0.064
-0.05302,0.056
-0.053,0.056
-0.05298,0.056
-0.05296,0.064
-0.05294,0.064
-0.05292,0.064
-0.0529,0.048
-0.05288,0.056
-0.05286,0.056
-0.05284,0.048
-0.05282,0.048
-0.0528,0.056
-0.05278,0.056
-0.05276,0.056
-0.05274,0.056
-0.05272,0.056
-0.0527,0.048
-0.05268,0.064
-0.05266,0.048
-0.05264,0.048
-0.05262,0.056
-0.0526,0.048
-0.05258,0.056
-0.05256,0.048
-0.05254,0.056
-0.05252,0.056
-0.0525,0.048
-0.05248,0.056
-0.05246,0.056
-0.05244,0.048
-0.052419997,0.056
-0.0524,0.064
-0.05238,0.048
-0.052359997,0.056
-0.052339997,0.056
-0.05232,0.056
-0.0523,0.048
-0.052279997,0.056
-0.05226,0.048
-0.05224,0.048
-0.052219997,0.056
-0.052199997,0.056
-0.05218,0.056
-0.05216,0.056
-0.052139997,0.064
-0.05212,0.056
-0.0521,0.056
-0.052079997,0.056
-0.052059997,0.056
-0.05204,0.056
-0.052019997,0.048
-0.051999997,0.056
-0.05198,0.056
-0.05196,0.056
-0.051939997,0.056
-0.05192,0.056
-0.0519,0.056
-0.051879997,0.056
-0.051859997,0.056
-0.05184,0.056
-0.05182,0.064
-0.051799997,0.056
-0.05178,0.056
-0.05176,0.048
-0.051739997,0.056
-0.051719997,0.056
-0.0517,0.056
-0.05168,0.064
-0.051659997,0.056
-0.05164,0.056
-0.05162,0.048
-0.051599997,0.056
-0.051579997,0.064
-0.05156,0.056
-0.05154,0.064
-0.051519997,0.08
-0.0515,0.056
-0.05148,0.056
-0.051459997,0.064
-0.05144,0.056
-0.05142,0.056
-0.051399997,0.056
-0.051379997,0.056
-0.05136,0.056
-0.05134,0.056
-0.051319997,0.056
-0.0513,0.056
-0.05128,0.056
-0.051259997,0.064
-0.051239997,0.056
-0.05122,0.064
-0.0512,0.048
-0.051179997,0.056
-0.05116,0.056
-0.05114,0.048
-0.051119997,0.056
-0.051099997,0.056
-0.05108,0.056
-0.05106,0.056
-0.051039997,0.048
-0.05102,0.056
-0.051,0.048
-0.050979997,0.056
-0.050959997,0.064
-0.05094,0.048
-0.050919997,0.056
-0.050899997,0.064
-0.05088,0.056
-0.05086,0.056
-0.050839997,0.064
-0.05082,0.048
-0.0508,0.056
-0.050779997,0.064
-0.050759997,0.048
-0.05074,0.056
-0.05072,0.064
-0.050699997,0.048
-0.05068,0.056
-0.05066,0.056
