Source,CH1
Second,Volt
-0.0082,0.056
-0.008192,0.064
-0.008184,0.056
-0.008176,0.056
-0.008168,0.056
-0.00816,0.056
-0.008151999,0.056
-0.008143999,0.056
-0.008135999,0.056
-0.008128001,0.056
-0.008120001,0.048
-0.008112,0.056
-0.008104,0.056
-0.008096,0.056
-0.008088,0.064
-0.00808,0.056
-0.008072,0.064
-0.008064,0.048
-0.008056,0.056
-0.008048,0.056
-0.00804,0.056
-0.008032,0.056
-0.008023999,0.064
-0.008015999,0.056
-0.008008001,0.048
-0.008000001,0.056
-0.007992001,0.064
-0.007984,0.056
-0.007976,0.064
-0.007968,0.056
-0.00796,0.056
-0.007952,0.056
-0.007944,0.056
-0.007936,0.056
-0.007928,0.056
-0.00792,0.056
-0.007912,0.056
-0.007903999,0.056
-0.007895999,0.056
-0.007887999,0.072
-0.007880001,0.056
-0.007872001,0.056
-0.007864,0.056
-0.007856,0.056
-0.007848,0.048
-0.00784,0.048
-0.007832,0.064
-0.007824,0.056
-0.007816,0.056
-0.007808,0.056
-0.0078,0.056
-0.007792,0.056
-0.007784,0.056
-0.007776,0.048
-0.007768,0.064
-0.00776,0.056
-0.007752,0.056
-0.007744,0.048
-0.007736,0.056
-0.007728,0.056
-0.00772,0.056
-0.007712,0.056
-0.007704,0.056
-0.007696,0.048
-0.007688,0.04
-0.00768,0.048
-0.007672,0.056
-0.007664,0.064
-0.007656,0.064
-0.007648,0.064
-0.00764,0.064
-0.007632,0.056
-0.007624,0.056
-0.007616,0.056
-0.007608,0.056
-0.0076,0.056
-0.007592,0.056
-0.007584,0.056
-0.007576,0.056
-0.007568,0.056
-0.00756,0.064
-0.007552,0.056
-0.007544,0.056
-0.007536,0.056
-0.007528,0.056
-0.00752,0.064
-0.007512,0.048
-0.007504,0.064
-0.007496,0.056
-0.007488,0.056
-0.00748,0.056
-0.007472,0.056
-0.007464,0.056
-0.007456,0.056
-0.007448,0.056
-0.00744,0.056
-0.007432,0.048
-0.007424,0.048
-0.007416,0.056
-0.007408,0.056
-0.0074,0.064
-0.007392,0.056
-0.007384,0.056
-0.007376,0.056
-0.007368,0.056
-0.00736,0.056
-0.007352,0.056
-0.007344,0.072
-0.007336,0.064
-0.007328,0.048
-0.00732,0.056
-0.007312,0.056
-0.007304,0.056
-0.007296,0.064
-0.007288,0.064
-0.00728,0.064
-0.007272,0.056
-0.007264,0.048
-0.007256,0.064
-0.007248,0.056
-0.00724,0.056
-0.007232,0.056
-0.007224,0.056
-0.007216,0.064
-0.007208,0.048
-0.0072,0.048
-0.007192,0.048
-0.007184,0.064
-0.007176,0.056
-0.007168,0.056
-0.00716,0.064
-0.007152,0.064
-0.007144,0.056
-0.007136,0.072
-0.007128,0.056
-0.00712,0.064
-0.007112,0.056
-0.007104,0.056
-0.007096,0.064
-0.007088,0.056
