Source,CH1
Second,Volt
-0.00820000000,0.06400,
-0.00819200000,0.06400,
-0.00818400000,0.05600,
-0.00817600000,0.05600,
-0.00816800000,0.05600,
-0.00816000000,0.05600,
-0.00815199938,0.06400,
-0.00814399938,0.05600,
-0.00813599938,0.05600,
-0.00812800063,0.05600,
-0.00812000063,0.06400,
-0.00811200000,0.04800,
-0.00810400000,0.06400,
-0.00809600000,0.05600,
-0.00808800000,0.05600,
-0.00808000000,0.05600,
-0.00807200000,0.05600,
-0.00806400000,0.05600,
-0.00805600000,0.05600,
-0.00804800000,0.05600,
-0.00804000000,0.05600,
-0.00803200000,0.05600,
-0.00802399938,0.06400,
-0.00801599938,0.04800,
-0.00800800063,0.05600,
-0.00800000063,0.05600,
-0.00799200063,0.05600,
-0.00798400000,0.05600,
-0.00797600000,0.06400,
-0.00796800000,0.06400,
-0.00796000000,0.05600,
-0.00795200000,0.05600,
-0.00794400000,0.06400,
-0.00793600000,0.06400,
-0.00792800000,0.05600,
-0.00792000000,0.05600,
-0.00791200000,0.05600,
-0.00790399938,0.06400,
-0.00789599938,0.05600,
-0.00788799938,0.06400,
-0.00788000063,0.06400,
-0.00787200063,0.05600,
-0.00786400000,0.04800,
-0.00785600000,0.05600,
-0.00784800000,0.05600,
-0.00784000000,0.05600,
-0.00783200000,0.05600,
-0.00782400000,0.05600,
-0.00781600000,0.05600,
-0.00780800000,0.05600,
-0.00780000000,0.05600,
-0.00779200000,0.04800,
-0.00778400000,0.06400,
-0.00777600000,0.05600,
-0.00776800000,0.05600,
-0.00776000000,0.05600,
-0.00775200000,0.06400,
-0.00774400000,0.05600,
-0.00773600000,0.06400,
-0.00772800000,0.06400,
-0.00772000000,0.06400,
-0.00771200000,0.05600,
-0.00770400000,0.05600,
-0.00769600000,0.05600,
-0.00768800000,0.05600,
-0.00768000000,0.05600,
-0.00767200000,0.05600,
-0.00766400000,0.06400,
-0.00765600000,0.05600,
-0.00764800000,0.05600,
-0.00764000000,0.05600,
-0.00763200000,0.05600,
-0.00762400000,0.04000,
-0.00761600000,0.05600,
-0.00760800000,0.05600,
-0.00760000000,0.06400,
-0.00759200000,0.05600,
-0.00758400000,0.05600,
-0.00757600000,0.05600,
-0.00756800000,0.05600,
-0.00756000000,0.05600,
-0.00755200000,0.05600,
-0.00754400000,0.06400,
-0.00753600000,0.06400,
-0.00752800000,0.05600,
-0.00752000000,0.06400,
-0.00751200000,0.05600,
-0.00750400000,0.06400,
-0.00749600000,0.05600,
-0.00748800000,0.05600,
-0.00748000000,0.05600,
-0.00747200000,0.06400,
-0.00746400000,0.05600,
-0.00745600000,0.05600,
-0.00744800000,0.06400,
-0.00744000000,0.04800,
-0.00743200000,0.05600,
-0.00742400000,0.06400,
-0.00741600000,0.05600,
-0.00740800000,0.04800,
-0.00740000000,0.05600,
-0.00739200000,0.05600,
-0.00738400000,0.06400,
-0.00737600000,0.05600,
-0.00736800000,0.05600,
-0.00736000000,0.05600,
-0.00735200000,0.05600,
-0.00734400000,0.06400,
-0.00733600000,0.06400,
-0.00732800000,0.05600,
-0.00732000000,0.05600,
-0.00731200000,0.05600,
-0.00730400000,0.05600,
-0.00729600000,0.06400,
-0.00728800000,0.05600,
-0.00728000000,0.05600,
-0.00727200000,0.05600,
-0.00726400000,0.07200,
-0.00725600000,0.05600,
-0.00724800000,0.06400,
-0.00724000000,0.06400,
-0.00723200000,0.06400,
-0.00722400000,0.05600,
-0.00721600000,0.05600,
-0.00720800000,0.06400,
-0.00720000000,0.05600,
-0.00719200000,0.05600,
-0.00718400000,0.05600,
-0.00717600000,0.06400,
-0.00716800000,0.05600,
-0.00716000000,0.05600,
-0.00715200000,0.06400,
-0.00714400000,0.05600,
-0.00713600000,0.04000,
-0.00712800000,0.05600,
-0.00712000000,0.05600,
-0.00711200000,0.07200,
-0.00710400000,0.05600,
-0.00709600000,0.05600,
-0.00708800000,0.05600,
-0.00708000000,0.06400,
-0.00707200000,0.05600,
-0.00706400000,0.05600,
-0.00705600000,0.06400,
-0.00704800000,0.05600,
-0.00704000000,0.05600,
-0.00703200000,0.05600,
-0.00702400000,0.05600,
-0.00701600000,0.05600,
-0.00700800000,0.05600,
-0.00700000000,0.05600,
-0.00699200000,0.06400,
-0.00698400000,0.05600,
-0.00697600000,0.06400,
-0.00696800000,0.05600,
-0.00696000000,0.06400,
-0.00695200000,0.05600,
-0.00694400000,0.05600,
-0.00693600000,0.06400,
-0.00692800000,0.06400,
-0.00692000000,0.05600,
-0.00691200000,0.05600,
-0.00690400000,0.06400,
-0.00689600000,0.06400,
-0.00688800000,0.05600,
-0.00688000000,0.05600,
-0.00687200000,0.05600,
-0.00686400000,0.05600,
-0.00685600000,0.05600,
-0.00684800000,0.05600,
-0.00684000000,0.05600,
-0.00683200000,0.05600,
-0.00682400000,0.05600,
-0.00681600000,0.06400,
-0.00680800000,0.05600,
-0.00680000000,0.04800,
-0.00679200000,0.05600,
-0.00678400000,0.06400,
-0.00677600000,0.05600,
-0.00676800000,0.05600,
-0.00676000000,0.05600,
-0.00675200000,0.06400,
-0.00674400000,0.06400,
-0.00673600000,0.05600,
-0.00672800000,0.05600,
-0.00672000000,0.05600,
-0.00671200000,0.06400,
-0.00670400000,0.05600,
-0.00669600000,0.05600,
-0.00668800000,0.05600,
-0.00668000000,0.06400,
-0.00667200000,0.06400,
-0.00666400000,0.06400,
-0.00665600000,0.06400,
-0.00664800000,0.05600,
-0.00664000000,0.05600,
-0.00663200000,0.06400,
-0.00662400000,0.06400,
-0.00661600000,0.05600,
-0.00660800000,0.05600,
-0.00660000000,0.05600,
-0.00659200000,0.05600,
-0.00658400000,0.05600,
-0.00657600000,0.05600,
-0.00656800000,0.06400,
-0.00656000000,0.06400,
-0.00655200000,0.05600,
-0.00654400000,0.06400,
-0.00653600000,0.07200,
-0.00652800000,0.06400,
-0.00652000000,0.06400,
-0.00651200000,0.05600,
-0.00650400000,0.06400,
-0.00649600000,0.06400,
-0.00648800000,0.06400,
-0.00648000000,0.06400,
-0.00647200000,0.05600,
-0.00646400000,0.05600,
-0.00645600000,0.05600,
-0.00644800000,0.07200,
-0.00644000000,0.09600,
-0.00643200000,0.04800,
-0.00642400000,0.06400,
-0.00641600000,0.06400,
-0.00640800000,0.06400,
-0.00640000000,0.05600,
-0.00639200000,0.05600,
-0.00638400000,0.05600,
-0.00637600000,0.05600,
