Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/12/2022 12:17:30
Elapsed Time,00:00:59:999
Samples,20077

--Statistics--
Minimum [W],-2.4836E-07
Maximum [W],2.8001E-06
Mean [W],7.0902E-07
Standard Deviation [W],9.1725E-07
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,2.0057E-06
3.000,1.3013E-06
6.000,2.0754E-06
9.000,9.2546E-09
12.000,-7.4052E-09
15.000,-2.4374E-08
18.000,1.3405E-06
21.000,1.7601E-06
24.000,1.3507E-06
27.000,2.4681E-08
31.000,1.1137E-07
34.000,1.6074E-06
39.000,1.8881E-06
42.000,-6.7882E-09
45.000,8.7618E-08
48.000,2.7758E-09
50.000,5.244E-09
53.000,-2.7774E-09
56.000,1.8202E-08
59.000,7.6203E-08
62.000,5.861E-09
65.000,8.9461E-09
68.000,1.3365E-06
71.000,2.4996E-06
74.000,1.3933E-06
77.000,8.6376E-09
80.000,2.1904E-08
83.000,1.8819E-08
86.000,2.4182E-06
89.000,1.3359E-06
92.000,1.3584E-06
95.000,1.1723E-08
100.035,-2.2214E-08
105.035,1.4722E-06
107.035,2.2207E-06
110.035,2.7457E-08
113.035,2.3755E-08
116.035,6.7866E-09
119.035,6.6947E-08
122.035,1.851E-08
125.035,-8.0223E-09
128.035,1.0797E-08
132.035,1.1816E-07
135.035,7.682E-08
137.035,2.5089E-06
140.035,1.342E-06
143.035,1.5688E-06
145.035,-1.9746E-08
148.035,1.3574E-08
151.035,1.0797E-08
154.035,1.4031E-06
157.035,1.9316E-06
159.035,1.6191E-06
162.035,-6.4797E-09
165.035,1.9127E-08
168.035,-4.6285E-09
171.035,1.4889E-06
173.035,2.4428E-06
176.035,1.3748E-06
179.035,-2.3448E-08
182.035,1.3574E-08
185.035,1.5734E-08
188.035,1.1076E-07
190.035,2.2521E-08
193.035,-2.8076E-08
196.035,5.5841E-08
199.035,8.9461E-09
201.035,1.2031E-08
204.035,1.3265E-08
207.035,1.7076E-06
210.035,1.3507E-06
213.035,7.5586E-08
216.035,-2.7459E-08
219.035,-5.2449E-08
222.184,-3.3012E-08
225.184,1.8125E-06
230.184,2.4629E-06
233.184,1.0736E-07
235.184,9.8716E-09
238.184,9.2546E-09
241.184,2.0041E-06
244.184,1.5802E-06
247.184,1.8826E-06
250.184,2.7149E-08
253.184,2.4989E-08
256.184,-3.98E-08
258.184,-2.0672E-08
261.184,2.8074E-08
264.184,7.0951E-09
266.184,1.1261E-07
269.184,-3.094E-10
272.184,1.3081E-07
275.184,2.4731E-06
278.184,1.3075E-06
281.184,2.4617E-06
284.184,1.5734E-08
287.184,3.2085E-08
290.184,8.6075E-08
295.184,2.2031E-06
298.184,1.4186E-06
301.184,-1.1416E-08
303.184,2.3446E-08
306.184,7.0341E-08
309.184,2.2108E-06
312.184,1.6938E-06
315.184,1.6533E-06
318.184,-1.049E-08
320.184,7.1575E-08
323.184,-5.0289E-08
326.184,6.1696E-09
329.184,2.2521E-08
332.184,7.898E-08
335.184,1.018E-08
338.184,2.9925E-08
341.184,1.9436E-08
344.184,1.6752E-06
346.937,1.2976E-06
354.937,1.906E-06
359.937,1.425E-06
362.937,1.5336E-06
365.937,1.4559E-06
367.937,1.8079E-06
370.937,2.7766E-08
373.937,6.7873E-08
376.937,1.4806E-06
379.937,1.7527E-06
382.937,1.9656E-06
385.937,2.7758E-09
388.937,1.0058E-07
391.937,1.6042E-08
394.937,-2.9001E-08
397.937,7.0951E-09
400.937,-8.825E-13
