Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/12/2022 11:53:16
Elapsed Time,00:00:59:999
Samples,20475

--Statistics--
Minimum [W],-2.5607E-07
Maximum [W],2.6967E-06
Mean [W],6.337E-07
Standard Deviation [W],8.2365E-07
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,1.7893E-08
2.908,1.1106E-08
9.908,1.8202E-08
12.908,1.111E-06
15.908,1.0838E-06
18.908,1.786E-06
21.908,-9.8734E-09
23.908,2.684E-08
26.908,1.9744E-08
29.908,1.3852E-06
31.908,1.628E-06
34.908,1.3285E-06
37.908,1.4639E-06
39.908,-1.049E-08
42.908,6.3862E-08
45.908,2.0053E-08
47.908,2.387E-06
50.908,1.4247E-06
53.908,1.5145E-06
55.908,-7.4052E-09
58.908,8.9461E-09
61.908,-2.9001E-08
63.908,-2.4374E-08
66.908,-5.8626E-09
69.908,7.4036E-09
71.908,-4.0115E-09
74.908,6.7866E-09
77.908,-1.1725E-08
80.908,8.5767E-08
83.908,1.0264E-06
86.908,2.1281E-06
88.908,1.0042E-06
91.908,-1.7586E-08
94.908,-1.0182E-08
96.908,2.1904E-08
99.908,-8.6393E-09
102.908,2.0291E-06
105.908,2.2034E-06
107.908,2.0575E-06
110.908,4.0106E-08
113.908,4.0099E-09
116.908,2.1904E-08
119.908,1.587E-06
121.908,2.5227E-06
124.908,1.3562E-06
128.333,2.4673E-09
134.333,3.2702E-08
141.333,4.6269E-09
144.333,-3.5789E-08
147.333,6.8798E-08
150.333,-1.6661E-08
153.333,2.2521E-08
155.333,1.6132E-06
158.333,1.342E-06
161.333,1.0437E-06
163.333,1.0058E-07
166.333,-2.314E-08
169.333,1.7585E-08
172.333,-3.0853E-08
174.333,2.317E-06
177.333,2.6085E-06
180.333,1.8585E-06
182.333,1.4499E-08
185.333,3.1776E-08
188.333,4.3809E-08
190.333,1.2563E-06
193.333,2.2676E-06
196.333,1.5963E-06
198.333,1.425E-06
201.333,-8.0223E-09
204.333,9.4097E-08
206.333,1.2648E-08
209.333,7.0951E-09
214.333,4.7819E-08
217.333,9.8716E-09
219.333,9.5948E-08
222.333,-4.3502E-08
226.333,5.6458E-08
228.333,1.2578E-06
231.333,2.1547E-06
234.333,1.0397E-06
237.333,2.3446E-08
239.333,-4.9371E-09
242.333,8.9461E-09
245.333,1.3846E-06
247.333,1.4707E-06
250.333,1.3606E-06
252.944,7.7128E-08
259.944,1.1723E-08
262.944,1.6842E-06
265.944,2.3009E-06
267.944,1.3393E-06
270.944,1.234E-08
273.944,1.4191E-08
276.944,1.6659E-08
278.944,1.5417E-09
281.944,2.2212E-08
284.944,-5.8002E-08
286.944,-1.1416E-08
289.944,2.7766E-08
292.944,4.3184E-09
294.944,-8.0223E-09
297.944,9.8201E-07
300.944,1.2399E-06
302.944,2.142E-06
305.944,9.8016E-07
308.944,1.1106E-08
310.944,1.0459E-07
313.944,1.7585E-08
316.944,1.5265E-06
318.944,1.4593E-06
321.944,1.45E-06
324.944,-1.5735E-08
326.944,7.5894E-08
329.944,7.9905E-08
333.944,2.126E-06
336.944,1.6644E-06
339.944,1.5318E-06
342.944,-5.2456E-09
344.944,1.3019E-07
347.944,2.1595E-08
350.944,-2.7459E-08
352.944,1.1446E-07
355.944,1.1723E-08
358.944,2.3138E-08
360.944,6.3554E-08
363.944,7.4036E-09
366.944,-6.5098E-08
368.944,9.9065E-07
371.944,1.3211E-06
374.944,1.6941E-06
376.563,9.9898E-07
383.563,6.1696E-09
