Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/16/2022 15:28:20
Elapsed Time,00:00:59:998
Samples,20564

--Statistics--
Minimum [W],4.1927E-07
Maximum [W],1.7848E-06
Mean [W],1.0279E-06
Standard Deviation [W],3.6412E-07
Ratio,4.257 : 1

--Graph Data--
Time (ms),Power (W)
0.000,1.0755E-06
3.000,1.1508E-06
6.000,1.3859E-06
9.000,1.5574E-06
11.000,1.4695E-06
14.000,1.2307E-06
17.000,1.0496E-06
20.000,1.0014E-06
23.000,1.0727E-06
25.000,1.1258E-06
28.000,1.0776E-06
31.000,9.1599E-07
34.000,7.9844E-07
36.000,7.0805E-07
41.000,5.8124E-07
44.000,5.3188E-07
46.000,4.9332E-07
49.000,4.6185E-07
52.000,4.3347E-07
55.000,8.4163E-07
57.000,1.281E-06
60.000,1.6132E-06
63.000,1.5836E-06
66.000,1.3208E-06
68.000,1.1187E-06
71.000,1.0437E-06
74.000,1.3029E-06
76.000,1.4926E-06
79.000,1.6231E-06
81.000,1.3414E-06
84.000,1.1313E-06
87.000,9.7028E-07
90.000,1.0181E-06
93.000,1.0878E-06
95.000,1.139E-06
98.000,1.0129E-06
101.000,8.7002E-07
103.000,7.6142E-07
106.304,6.7596E-07
109.304,6.0809E-07
116.304,5.1491E-07
119.304,4.5876E-07
121.304,4.3131E-07
124.304,9.6226E-07
127.304,1.4022E-06
130.304,1.7274E-06
133.304,1.422E-06
136.304,1.1511E-06
139.304,9.925E-07
143.304,1.2989E-06
145.304,1.4901E-06
148.304,1.5759E-06
151.304,1.3072E-06
154.304,1.0832E-06
156.304,9.5733E-07
159.304,1.0505E-06
162.304,1.1122E-06
164.304,1.1579E-06
167.304,9.9898E-07
170.304,8.4441E-07
173.304,7.3057E-07
176.304,6.4264E-07
179.304,5.8402E-07
181.304,5.3373E-07
184.304,4.8838E-07
187.304,4.5876E-07
190.304,4.2915E-07
193.304,9.0858E-07
195.304,1.3288E-06
198.304,1.6493E-06
201.304,1.5361E-06
204.304,1.2569E-06
206.304,1.0702E-06
209.304,1.1252E-06
212.304,1.3442E-06
214.304,1.5086E-06
217.304,1.5383E-06
220.304,1.281E-06
222.304,1.0854E-06
225.304,9.5856E-07
228.304,1.0345E-06
230.712,1.0931E-06
235.712,1.1381E-06
238.712,8.7711E-07
243.712,7.1144E-07
246.712,5.9112E-07
249.712,5.3157E-07
253.712,4.8622E-07
256.712,4.5198E-07
258.712,4.3007E-07
261.712,9.1012E-07
264.712,1.3269E-06
267.712,1.6484E-06
270.712,1.43E-06
273.712,1.202E-06
276.712,1.0014E-06
279.712,1.2766E-06
282.712,1.4889E-06
284.712,1.6284E-06
287.712,1.3661E-06
290.712,1.1273E-06
295.712,1.0147E-06
298.712,1.0792E-06
301.712,1.1338E-06
303.712,1.0252E-06
306.712,8.6446E-07
309.712,7.571E-07
312.712,6.7041E-07
315.712,5.976E-07
317.712,5.4669E-07
320.712,5.0412E-07
323.712,4.6956E-07
325.712,4.421E-07
328.712,6.5745E-07
331.712,1.1437E-06
334.712,1.5046E-06
336.712,1.6897E-06
339.712,1.3985E-06
342.712,1.1788E-06
345.712,1.0008E-06
347.712,1.277E-06
350.712,1.4547E-06
353.712,1.5886E-06
356.268,1.3646E-06
360.268,1.1514E-06
363.268,9.743E-07
365.268,1.0598E-06
368.268,1.1202E-06
371.268,1.1295E-06
374.268,9.3573E-07
377.268,8.0214E-07
380.268,6.9879E-07
383.268,6.1888E-07
386.268,5.4916E-07
