Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/16/2022 15:44:42
Elapsed Time,00:00:59:998
Samples,20412

--Statistics--
Minimum [W],5.1409E-06
Maximum [W],1.3355E-05
Mean [W],9.9362E-06
Standard Deviation [W],2.3158E-06
Ratio,2.598 : 1

--Graph Data--
Time (ms),Power (W)
0.000,1.1715E-05
2.658,1.2288E-05
7.658,1.3068E-05
10.658,1.1742E-05
13.658,1.0531E-05
15.658,1.1585E-05
18.658,1.2339E-05
21.658,1.286E-05
24.658,1.2077E-05
27.658,1.0095E-05
30.658,8.802E-06
33.658,7.8829E-06
36.658,7.1301E-06
38.658,6.5223E-06
41.658,5.9625E-06
44.658,5.5347E-06
47.658,5.6467E-06
49.658,7.426E-06
52.658,8.7504E-06
55.658,9.8162E-06
58.658,1.0793E-05
60.658,1.1508E-05
63.658,1.0158E-05
66.658,1.098E-05
69.658,1.1749E-05
72.658,1.2376E-05
74.658,1.2835E-05
77.658,1.2548E-05
80.658,1.0823E-05
82.658,1.099E-05
85.658,1.1811E-05
88.658,1.251E-05
93.658,1.161E-05
96.658,1.0077E-05
99.658,8.9219E-06
102.658,7.8965E-06
104.658,7.1482E-06
107.658,6.5262E-06
110.658,6.0132E-06
112.658,5.5742E-06
115.658,5.3776E-06
118.658,7.2385E-06
121.658,8.7525E-06
123.658,9.8186E-06
126.968,1.0696E-05
134.968,1.1427E-05
138.968,1.1949E-05
141.968,1.2477E-05
144.968,1.297E-05
146.968,1.2122E-05
149.968,1.0426E-05
152.968,1.1369E-05
155.968,1.2253E-05
158.968,1.2793E-05
161.968,1.2718E-05
163.968,1.0947E-05
166.968,9.584E-06
169.968,8.4046E-06
172.968,7.564E-06
174.968,6.8647E-06
177.968,6.291E-06
180.968,5.8245E-06
183.968,5.3828E-06
185.968,6.6893E-06
188.968,8.1833E-06
191.968,9.4874E-06
194.968,1.0423E-05
197.968,1.1288E-05
199.968,1.0765E-05
202.968,1.0557E-05
205.968,1.1463E-05
207.968,1.2093E-05
210.968,1.2655E-05
213.968,1.3117E-05
216.968,1.1401E-05
219.968,1.0639E-05
221.968,1.1558E-05
224.968,1.2242E-05
227.968,1.2842E-05
230.968,1.2458E-05
232.968,1.0724E-05
235.968,9.2634E-06
238.968,8.2694E-06
241.968,7.4677E-06
244.968,6.724E-06
248.968,5.8749E-06
251.968,5.4643E-06
255.068,6.2315E-06
261.068,9.084E-06
264.068,1.0729E-05
267.068,1.1534E-05
270.068,9.985E-06
273.068,1.0987E-05
276.068,1.1831E-05
278.068,1.238E-05
281.068,1.2839E-05
284.068,1.2532E-05
286.068,1.0791E-05
289.068,1.1012E-05
292.068,1.1825E-05
295.068,1.252E-05
298.068,1.3003E-05
301.068,1.12E-05
303.068,9.7851E-06
306.068,8.6779E-06
309.068,7.7878E-06
312.068,6.9804E-06
314.068,6.3789E-06
317.068,5.8819E-06
320.068,5.4779E-06
323.068,6.2412E-06
325.068,7.8472E-06
328.068,9.0849E-06
331.068,1.0091E-05
333.068,1.0923E-05
336.068,1.1511E-05
339.068,1.0085E-05
341.068,1.108E-05
346.068,1.2312E-05
349.068,1.2834E-05
352.068,1.2565E-05
355.068,1.081E-05
358.068,1.1057E-05
360.068,1.1863E-05
363.068,1.2551E-05
366.068,1.3029E-05
369.068,1.1794E-05
371.068,1.0227E-05
374.068,9.0251E-06
377.488,7.9596E-06
380.488,7.2098E-06
385.488,6.1283E-06
387.488,5.6732E-06
390.488,5.3133E-06
393.488,7.1452E-06
