Source,CH1
Second,Volt
-0.41200000000,0.10800,
-0.41191996875,0.09200,
-0.41184000000,0.08400,
-0.41176000000,0.10000,
-0.41167996875,0.08400,
-0.41160000000,0.08800,
-0.41152000000,0.10000,
-0.41144000000,0.09600,
-0.41136000000,0.09600,
-0.41127996875,0.10000,
-0.41120000000,0.09200,
-0.41112000000,0.11200,
-0.41103996875,0.09600,
-0.41096000000,0.08800,
-0.41088000000,0.09600,
-0.41079996875,0.09200,
-0.41072000000,0.09200,
-0.41064000000,0.09600,
-0.41055996875,0.10400,
-0.41048000000,0.10400,
-0.41040000000,0.08800,
-0.41031996875,0.09600,
-0.41024000000,0.11200,
-0.41015996875,0.09200,
-0.41008000000,0.09600,
-0.41000000000,0.09600,
-0.40991996875,0.09600,
-0.40984000000,0.10400,
-0.40976000000,0.08800,
-0.40967996875,0.12800,
-0.40960000000,0.09600,
-0.40952000000,0.08400,
-0.40943996875,0.10400,
-0.40936000000,0.09200,
-0.40928000000,0.09200,
-0.40919996875,0.10400,
-0.40912000000,0.07600,
-0.40904000000,0.11200,
-0.40896000000,0.10400,
-0.40888000000,0.08800,
-0.40879996875,0.09200,
-0.40872000000,0.06400,
-0.40864000000,0.10800,
-0.40855996875,0.08800,
-0.40848000000,0.09200,
-0.40840000000,0.10800,
-0.40831996875,0.10400,
-0.40824000000,0.08400,
-0.40816000000,0.08800,
-0.40807996875,0.09200,
-0.40800000000,0.09200,
-0.40792000000,0.06000,
-0.40783996875,0.09600,
-0.40776000000,0.08800,
-0.40767996875,0.09600,
-0.40760000000,0.08800,
-0.40752000000,0.09600,
-0.40743996875,0.09200,
-0.40736000000,0.10800,
-0.40728000000,0.09600,
-0.40719996875,0.10400,
-0.40712000000,0.09600,
-0.40704000000,0.09200,
-0.40695996875,0.09600,
-0.40688000000,0.09600,
-0.40680000000,0.09200,
-0.40671996875,0.09200,
-0.40664000000,0.09200,
-0.40656000000,0.09200,
-0.40648000000,0.09600,
-0.40640000000,0.08800,
-0.40631996875,0.08800,
-0.40624000000,0.10400,
-0.40616000000,0.09600,
-0.40607996875,0.08800,
-0.40600000000,0.09200,
-0.40592000000,0.09600,
-0.40583996875,0.09600,
-0.40576000000,0.09200,
-0.40568000000,0.09200,
-0.40559996875,0.09200,
-0.40552000000,0.10400,
-0.40544000000,0.09200,
-0.40535996875,0.08800,
-0.40528000000,0.10400,
-0.40520000000,0.10400,
-0.40512000000,0.09600,
-0.40504000000,0.08800,
-0.40495996875,0.08800,
-0.40488000000,0.09200,
-0.40480000000,0.08800,
-0.40471996875,0.06000,
-0.40464000000,0.08800,
-0.40456000000,0.09200,
-0.40447996875,0.08000,
-0.40440000000,0.10400,
-0.40432000000,0.09600,
-0.40423996875,0.09600,
-0.40416000000,0.08800,
-0.40408000000,0.09200,
-0.40399996875,0.08000,
-0.40392000000,0.09200,
-0.40383996875,0.08800,
-0.40376000000,0.08800,
-0.40368000000,0.10400,
-0.40359996875,0.09200,
-0.40352000000,0.08400,
-0.40344000000,0.09600,
-0.40335996875,0.09200,
-0.40328000000,0.08800,
-0.40320000000,0.09600,
-0.40311996875,0.08000,
-0.40304000000,0.09200,
-0.40296000000,0.10400,
-0.40287996875,0.08800,
-0.40280000000,0.09600,
-0.40272000000,0.09200,
-0.40264000000,0.09200,
-0.40256000000,0.08800,
-0.40247996875,0.08800,
-0.40240000000,0.08800,
-0.40232000000,0.10400,
-0.40223996875,0.09200,
-0.40216000000,0.08800,
-0.40208000000,0.08800,
-0.40199996875,0.08400,
-0.40192000000,0.09600,
-0.40184000000,0.08800,
-0.40175996875,0.08800,
-0.40168000000,0.08000,
-0.40160000000,0.09200,
-0.40151996875,0.08000,
-0.40144000000,0.09200,
-0.40135996875,0.09600,
-0.40128000000,0.08800,
-0.40120000000,0.09600,
-0.40111996875,0.08800,
-0.40104000000,0.10400,
-0.40096000000,0.09200,
-0.40087996875,0.08800,
-0.40080000000,0.08800,
-0.40072000000,0.08800,
-0.40063996875,0.08800,
-0.40056000000,0.09200,
-0.40048000000,0.08800,
-0.40039996875,0.09200,
-0.40032000000,0.09200,
-0.40024000000,0.06400,
-0.40016000000,0.09200,
-0.40008000000,0.08000,
-0.39999996875,0.09200,
-0.39992000000,0.08400,
-0.39984000000,0.08800,
-0.39975996875,0.08800,
-0.39968000000,0.08800,
-0.39960000000,0.08800,
-0.39951996875,0.10000,
-0.39944000000,0.08800,
-0.39936000000,0.10800,
-0.39927996875,0.09200,
-0.39920000000,0.08800,
-0.39912000000,0.09600,
-0.39903996875,0.08800,
-0.39896000000,0.10400,
-0.39887996875,0.10400,
-0.39880000000,0.08400,
-0.39872000000,0.08800,
-0.39863996875,0.09200,
-0.39856000000,0.08800,
-0.39848000000,0.08800,
-0.39839996875,0.06000,
-0.39832000000,0.08800,
-0.39824000000,0.08000,
-0.39815996875,0.10400,
-0.39808000000,0.10400,
-0.39800000000,0.08800,
-0.39791996875,0.08400,
-0.39784000000,0.08800,
-0.39776000000,0.10400,
-0.39768000000,0.09200,
-0.39760000000,0.10000,
-0.39751996875,0.08800,
-0.39744000000,0.09200,
-0.39736000000,0.07600,
-0.39727996875,0.09600,
